date,slot,snapshotEpoch,symbol,name,direction,optionType,strike,spot,spotTarget,spotStop,premium,premiumTarget,premiumStop,expectedPremiumMovePct,confidence,qualityScore,marketAlignment,relVolume,thetaPctPerDay,decayLevel,dte,hourlyScore,expiry,result,hitTime,spotAfter
2026-09-02,09:30,1788321641,ADANIENT.NS,Adani Enterprises,Bearish,PE,2900,2846.4,2808.09,2873.22,107.55,129.23,92.37,20.16,50,64,Aligned,1.82,1.49,Low,27,66,2026-09-29,,,
2026-09-02,09:30,1788321641,HCLTECH.NS,HCL Technologies,Bearish,PE,1320,1329.8,1313.39,1341.28,30.1,37.09,25.21,23.22,55,65,Aligned,1.68,2.29,Low,27,64,2026-09-29,,,
2026-09-02,09:30,1788321641,TATASTEEL.NS,Tata Steel,Bearish,PE,185,182.39,180.33,183.84,5.4,6.52,4.61,20.74,66,72,Aligned,1.38,1.48,Low,27,60,2026-09-29,,,
2026-09-02,09:30,1788321641,INFY.NS,Infosys,Bearish,PE,1140,1131,1116.52,1141.13,33.45,40.77,28.33,21.88,65,71,Aligned,1.28,1.73,Low,27,57,2026-09-29,,,
2026-09-02,09:30,1788321641,PETRONET.NS,Petronet LNG,Bearish,PE,290,290.55,287.46,292.71,5.35,6.7,4.41,25.23,85,81,Aligned,0.47,2.24,Low,27,57,2026-09-29,,,
2026-09-02,09:30,1788321641,TCS.NS,Tata Consultancy Services,Bearish,PE,2300,2317.7,2284.98,2340.6,45.75,59.13,36.38,29.25,54,65,Aligned,1.28,2.36,Low,27,56,2026-09-29,,,
2026-09-02,11:30,1788328831,MARUTI.NS,Maruti Suzuki,Bearish,PE,13000,12659,12531.23,12748.44,425.15,505.88,368.64,18.99,71,61,Neutral,1.28,1.14,Low,27,58,2026-09-29,,,
2026-09-02,11:30,1788328831,HINDUNILVR.NS,Hindustan Unilever,Bearish,PE,2000,1965.1,1947.29,1977.56,49.1,59.62,41.74,21.43,90,84,Aligned,0.92,1.32,Low,27,58,2026-09-29,,,
2026-09-02,11:30,1788328831,HDFCBANK.NS,HDFC Bank,Bearish,PE,710,701.8,695.9,705.93,16.45,19.53,14.3,18.72,75,76,Aligned,1.17,1.64,Low,27,57,2026-09-29,,,
2026-09-02,11:30,1788328831,LT.NS,Larsen & Toubro,Bearish,PE,4000,3965.1,3937.74,3984.25,84.05,98.67,73.82,17.39,87,82,Aligned,0.44,1.59,Low,27,56,2026-09-29,,,
2026-09-02,11:30,1788328831,PETRONET.NS,Petronet LNG,Bearish,PE,290,290.1,287.01,292.26,5.45,6.81,4.5,24.95,75,76,Aligned,0.55,2.2,Low,27,54,2026-09-29,,,
2026-09-02,11:30,1788328831,TITAN.NS,Titan Company,Bearish,PE,5000,4991,4948.85,5020.51,84.9,103.98,71.54,22.47,75,76,Aligned,0.6,2.06,Low,27,53,2026-09-29,,,
2026-09-02,12:30,1788332427,BPCL.NS,BPCL,Bearish,PE,315,314.65,311.17,317.08,7.5,9.11,6.37,21.47,63,70,Aligned,1.75,2,Low,27,68,2026-09-29,,,
2026-09-02,12:30,1788332427,PETRONET.NS,Petronet LNG,Bearish,PE,290,289.6,286.5,291.77,5.7,7.13,4.7,25.09,88,82,Aligned,0.67,1.93,Low,27,58,2026-09-29,,,
2026-09-02,12:30,1788332427,AXISBANK.NS,Axis Bank,Bearish,PE,1260,1254.9,1243.84,1262.64,22,27.19,18.37,23.59,63,70,Aligned,1.26,1.95,Low,27,57,2026-09-29,,,
2026-09-02,12:30,1788332427,SBIN.NS,State Bank of India,Bearish,PE,1050,1021.1,1011.78,1027.62,34.05,40.01,29.88,17.5,77,78,Aligned,1.12,1.09,Low,27,56,2026-09-29,,,
2026-09-02,12:30,1788332427,ICICIBANK.NS,ICICI Bank,Bearish,PE,1440,1423.7,1412.93,1431.24,28.25,34.06,24.18,20.57,75,76,Aligned,0.93,1.56,Low,27,53,2026-09-29,,,
2026-09-02,12:30,1788332427,IOC.NS,Indian Oil (IOC),Bearish,PE,140,135.6,134.36,136.46,5.21,6.04,4.63,15.93,73,76,Aligned,1.05,0.96,Low,27,52,2026-09-29,,,
2026-09-02,13:30,1788336015,SBIN.NS,State Bank of India,Bearish,PE,1050,1020.6,1011.25,1027.15,34.85,40.9,30.61,17.36,76,78,Aligned,1.57,1.06,Low,27,67,2026-09-29,,,
2026-09-02,13:30,1788336015,ADANIENT.NS,Adani Enterprises,Bullish,CE,2900,2894.2,2933.97,2866.36,94.8,116.46,79.64,22.85,57,53,Neutral,1.44,1.66,Low,27,59,2026-09-29,,,
2026-09-02,13:30,1788336015,ICICIBANK.NS,ICICI Bank,Bearish,PE,1440,1422.9,1412.09,1430.46,26.75,32.55,22.69,21.68,75,76,Aligned,1.13,1.61,Low,27,56,2026-09-29,,,
2026-09-02,13:30,1788336015,PETRONET.NS,Petronet LNG,Bearish,PE,290,290.3,287.2,292.47,5.05,6.38,4.12,26.34,64,70,Aligned,0.89,2.18,Low,27,51,2026-09-29,,,
2026-09-02,13:30,1788336015,KOTAKBANK.NS,Kotak Mahindra Bank,Bearish,PE,420,421.2,417.6,423.72,5.65,7.15,4.6,26.55,50,49,Neutral,1.04,2.3,Low,27,48,2026-09-29,,,
2026-09-02,13:30,1788336015,BHARTIARTL.NS,Bharti Airtel,Bearish,PE,1900,1867.7,1848.55,1881.11,46.4,58.09,38.22,25.19,45,62,Aligned,0.69,1.23,Low,27,45,2026-09-29,,,
