date,slot,snapshotEpoch,symbol,name,direction,optionType,strike,spot,spotTarget,spotStop,premium,premiumTarget,premiumStop,expectedPremiumMovePct,confidence,qualityScore,marketAlignment,relVolume,thetaPctPerDay,decayLevel,dte,hourlyScore,expiry,result,hitTime,spotAfter
2026-09-04,09:30,1788494418,HINDUNILVR.NS,Hindustan Unilever,Bearish,PE,2000,1957.4,1940.87,1968.97,53.5,63.95,46.19,19.53,76,64,Neutral,1.2,1.23,Low,25,58,2026-09-29,,,
2026-09-04,09:30,1788494418,POWERGRID.NS,Power Grid,Bearish,PE,270,265.9,263.6,267.51,6.25,7.59,5.31,21.44,77,64,Neutral,0.83,1.44,Low,25,54,2026-09-29,,,
2026-09-04,09:30,1788494418,SUNPHARMA.NS,Sun Pharma,Bearish,PE,1920,1907.1,1890.03,1919.05,31.45,40.42,25.17,28.52,65,57,Neutral,0.59,1.75,Low,25,52,2026-09-29,,,
2026-09-04,09:30,1788494418,ONGC.NS,ONGC,Bearish,PE,240,234.05,232.3,235.27,7.38,8.64,6.5,17.07,73,77,Aligned,0.32,0.81,Low,25,52,2026-09-29,,,
2026-09-04,09:30,1788494418,MARUTI.NS,Maruti Suzuki,Bearish,PE,13000,12778,12657.98,12862.01,355.4,426.97,305.3,20.14,68,59,Neutral,0.89,1.39,Low,25,51,2026-09-29,,,
2026-09-04,09:30,1788494418,HINDPETRO.NS,HPCL,Bearish,PE,360,356,352.42,358.5,9.95,11.67,8.75,17.29,55,52,Neutral,0.38,1.61,Low,25,46,2026-09-29,,,
2026-09-04,10:30,1788498047,SUNPHARMA.NS,Sun Pharma,Bearish,PE,1920,1906.8,1889.67,1918.79,30.35,39.62,23.86,30.54,76,63,Neutral,0.18,1.71,Low,25,56,2026-09-29,,,
2026-09-04,10:30,1788498047,RELIANCE.NS,Reliance Industries,Bullish,CE,1320,1327,1337.6,1319.58,30.8,37.16,26.35,20.65,78,78,Aligned,0.78,1.46,Low,25,54,2026-09-29,,,
2026-09-04,10:30,1788498047,PETRONET.NS,Petronet LNG,Bullish,CE,290,291.65,294.59,289.59,7.1,8.81,5.9,24.08,61,70,Aligned,0.12,1.55,Low,25,50,2026-09-29,,,
2026-09-04,10:30,1788498047,IOC.NS,Indian Oil (IOC),Bullish,CE,140,137.45,138.61,136.64,1.95,2.41,1.63,23.59,61,68,Aligned,0.25,2.56,Low,25,49,2026-09-29,,,
