date,slot,snapshotEpoch,symbol,name,direction,optionType,strike,spot,spotTarget,spotStop,premium,premiumTarget,premiumStop,expectedPremiumMovePct,confidence,qualityScore,marketAlignment,relVolume,thetaPctPerDay,decayLevel,dte,hourlyScore,expiry,result,hitTime,spotAfter
2026-08-31,09:30,1788148857,INFY.NS,Infosys,Bearish,PE,1140,1123.6,1109.59,1133.41,37.9,45.52,32.56,20.11,57,67,Aligned,1.51,1.42,Low,29,60,2026-09-29,,,
2026-08-31,09:30,1788148857,ICICIBANK.NS,ICICI Bank,Bearish,PE,1450,1425.8,1416.12,1432.58,31.6,37.37,27.56,18.26,49,50,Neutral,1.4,1.2,Low,29,55,2026-09-29,,,
2026-08-31,09:30,1788148857,BPCL.NS,BPCL,Bearish,PE,320,312.2,309.05,314.4,10.7,12.52,9.43,17.01,55,67,Aligned,1.34,1.21,Low,29,54,2026-09-29,,,
2026-08-31,09:30,1788148857,BHARTIARTL.NS,Bharti Airtel,Bearish,PE,1900,1882.7,1866.65,1893.94,37.6,46.38,31.45,23.35,44,61,Aligned,1.19,1.46,Low,29,49,2026-09-29,,,
2026-08-31,09:30,1788148857,PETRONET.NS,Petronet LNG,Bearish,PE,290,291.25,288.6,293.1,5.95,7.09,5.15,19.16,54,51,Neutral,0.68,1.51,Low,29,46,2026-09-29,,,
2026-08-31,09:30,1788148857,HDFCBANK.NS,HDFC Bank,Bullish,CE,730,733,738.17,729.38,19.25,22.31,17.11,15.9,34,42,Neutral,1.24,1.35,Low,29,45,2026-09-29,,,
2026-08-31,10:30,1788152424,TATASTEEL.NS,Tata Steel,Bearish,PE,185,182.45,180.46,183.84,5.16,6.27,4.39,21.51,78,78,Aligned,0.72,1.36,Low,29,54,2026-09-29,,,
2026-08-31,10:30,1788152424,ITC.NS,ITC,Bearish,PE,270,264.5,262.41,265.97,6.55,7.93,5.58,21.07,71,75,Aligned,0.42,0.92,Low,29,52,2026-09-29,,,
2026-08-31,10:30,1788152424,HCLTECH.NS,HCL Technologies,Bearish,PE,1300,1308.9,1293.44,1319.72,26.65,32.91,22.27,23.49,70,73,Aligned,0.3,2.21,Low,29,52,2026-09-29,,,
2026-08-31,10:30,1788152424,LT.NS,Larsen & Toubro,Bearish,PE,4000,4000,3972.45,4019.28,61.4,73.58,52.87,19.84,73,75,Aligned,0.26,2,Low,29,52,2026-09-29,,,
2026-08-31,10:30,1788152424,BAJFINANCE.NS,Bajaj Finance,Bearish,PE,1100,1056,1043.91,1064.46,47,55.59,40.99,18.28,66,73,Aligned,0.38,0.77,Low,29,50,2026-09-29,,,
2026-08-31,10:30,1788152424,PETRONET.NS,Petronet LNG,Bearish,PE,290,289.95,287.24,291.85,6.75,8.13,5.78,20.44,65,57,Neutral,0.32,1.48,Low,29,50,2026-09-29,,,
2026-08-31,11:30,1788156024,LT.NS,Larsen & Toubro,Bearish,PE,4000,3982.9,3954.86,4002.52,66.35,79.69,57.02,20.11,75,76,Aligned,0.4,1.84,Low,29,53,2026-09-29,,,
2026-08-31,11:30,1788156024,INFY.NS,Infosys,Bearish,PE,1100,1119.6,1105.39,1129.55,20.2,25.22,16.69,24.85,64,69,Aligned,0.66,2.57,Low,29,50,2026-09-29,,,
2026-08-31,11:30,1788156024,TITAN.NS,Titan Company,Bearish,PE,5100,5099.8,5059.34,5128.12,79,96.66,66.64,22.35,64,70,Aligned,0.2,1.95,Low,29,50,2026-09-29,,,
2026-08-31,11:30,1788156024,HINDUNILVR.NS,Hindustan Unilever,Bearish,PE,2000,1988.3,1971.47,2000.08,33.9,41.87,28.32,23.51,61,69,Aligned,0.77,1.77,Low,29,49,2026-09-29,,,
2026-08-31,11:30,1788156024,MARUTI.NS,Maruti Suzuki,Bearish,PE,13500,13299,13193.97,13372.52,343.55,401.61,302.91,16.9,64,71,Aligned,0.47,1.4,Low,29,49,2026-09-29,,,
2026-08-31,11:30,1788156024,HINDPETRO.NS,HPCL,Bearish,PE,370,357,353.12,359.71,15.2,17.74,13.43,16.71,43,47,Neutral,0.93,0.99,Low,29,42,2026-09-29,,,
2026-08-31,12:30,1788159635,HDFCBANK.NS,HDFC Bank,Bearish,PE,730,718.95,713.76,722.58,18.35,21.17,16.38,15.37,65,71,Aligned,2.77,1.42,Low,29,73,2026-09-29,,,
2026-08-31,12:30,1788159635,TATASTEEL.NS,Tata Steel,Bearish,PE,185,182.37,180.38,183.76,5.15,6.21,4.41,20.58,60,69,Aligned,1.21,1.55,Low,29,54,2026-09-29,,,
2026-08-31,12:30,1788159635,IOC.NS,Indian Oil (IOC),Bearish,PE,135,134.77,133.64,135.56,2.65,3.21,2.26,21.13,76,77,Aligned,0.97,1.51,Low,29,53,2026-09-29,,,
2026-08-31,12:30,1788159635,INFY.NS,Infosys,Bearish,PE,1140,1121.9,1107.69,1131.85,35.9,43.5,30.58,21.17,72,75,Aligned,0.78,1.48,Low,29,52,2026-09-29,,,
2026-08-31,12:30,1788159635,LT.NS,Larsen & Toubro,Bearish,PE,4000,3998.7,3970.53,4018.42,56.5,68.44,48.14,21.13,60,68,Aligned,0.7,2.11,Low,29,48,2026-09-29,,,
2026-08-31,12:30,1788159635,GAIL.NS,GAIL (India),Bullish,CE,175,172.33,174.02,171.15,2.43,3.11,1.96,27.98,54,51,Neutral,0.55,2.47,Low,29,48,2026-09-29,,,
2026-08-31,13:30,1788163234,HDFCBANK.NS,HDFC Bank,Bearish,PE,730,716.45,711.11,720.19,19.85,22.92,17.7,15.47,86,68,Neutral,3.11,1.31,Low,29,80,2026-09-29,,,
2026-08-31,13:30,1788163234,TATASTEEL.NS,Tata Steel,Bearish,PE,185,181.84,179.85,183.23,5.65,6.75,4.88,19.47,65,58,Neutral,1.37,1.42,Low,29,59,2026-09-29,,,
2026-08-31,13:30,1788163234,HINDPETRO.NS,HPCL,Bearish,PE,370,356.7,352.82,359.41,15.4,17.95,13.62,16.56,55,53,Neutral,1.25,0.97,Low,29,52,2026-09-29,,,
2026-08-31,13:30,1788163234,IOC.NS,Indian Oil (IOC),Bearish,PE,135,134.45,133.31,135.25,2.88,3.46,2.47,20.14,54,52,Neutral,1.14,1.74,Low,29,50,2026-09-29,,,
2026-08-31,13:30,1788163234,SUNPHARMA.NS,Sun Pharma,Bullish,CE,1940,1927.2,1942.71,1916.34,26.5,33.89,21.33,27.89,58,53,Neutral,0.81,1.89,Low,29,50,2026-09-29,,,
2026-08-31,13:30,1788163234,GAIL.NS,GAIL (India),Bullish,CE,175,172.44,174.14,171.25,2.56,3.25,2.08,26.95,53,50,Neutral,0.71,2.34,Low,29,48,2026-09-29,,,
2026-08-31,14:31,1788166860,ADANIENT.NS,Adani Enterprises,Bearish,PE,3000,3009.1,2973.74,3033.85,80,95.8,68.94,19.75,82,79,Aligned,4.08,1.96,Low,29,80,2026-09-29,,,
2026-08-31,14:31,1788166860,TATASTEEL.NS,Tata Steel,Bearish,PE,185,181.75,179.76,183.14,5.63,6.74,4.86,19.72,60,69,Aligned,1.57,1.42,Low,29,62,2026-09-29,,,
2026-08-31,14:31,1788166860,TCS.NS,Tata Consultancy Services,Bearish,PE,2300,2324,2294.12,2344.92,42.9,54.57,34.73,27.2,40,58,Aligned,0.8,2.28,Low,29,44,2026-09-29,,,
2026-08-31,15:30,1788170448,HDFCBANK.NS,HDFC Bank,Bearish,PE,730,709,703.26,713.02,23.35,26.97,20.81,15.5,94,87,Aligned,4.84,1.07,Low,29,82,2026-09-29,,,
2026-08-31,15:30,1788170448,KOTAKBANK.NS,Kotak Mahindra Bank,Bearish,PE,420,419.4,415.55,422.1,5,6.37,4.04,27.4,45,46,Neutral,2.55,2.6,Low,29,70,2026-09-29,,,
2026-08-31,15:30,1788170448,HINDUNILVR.NS,Hindustan Unilever,Bearish,PE,2000,1967.4,1949.11,1980.21,26.35,34.05,20.96,29.22,41,58,Aligned,2.34,2.16,Low,29,70,2026-09-29,,,
2026-08-31,15:30,1788170448,SUNPHARMA.NS,Sun Pharma,Bullish,CE,1940,1984.8,2002.22,1972.61,26.45,34.73,20.65,31.3,38,43,Neutral,2.22,1.78,Low,29,70,2026-09-29,,,
2026-08-31,15:30,1788170448,ONGC.NS,ONGC,Bearish,PE,240,231.8,229.7,233.27,8.63,10.12,7.59,17.27,75,78,Aligned,1.5,0.81,Low,29,65,2026-09-29,,,
