date,slot,snapshotEpoch,symbol,name,direction,optionType,strike,spot,spotTarget,spotStop,premium,premiumTarget,premiumStop,expectedPremiumMovePct,confidence,qualityScore,marketAlignment,relVolume,thetaPctPerDay,decayLevel,dte,hourlyScore,expiry,result,hitTime,spotAfter
2026-09-01,09:30,1788235231,BHARTIARTL.NS,Bharti Airtel,Bearish,PE,1900,1853.8,1834.53,1867.29,52.5,64.98,43.76,23.77,90,85,Aligned,1.89,1.03,Low,28,81,2026-09-29,,,
2026-09-01,09:30,1788235231,HINDUNILVR.NS,Hindustan Unilever,Bearish,PE,2000,1991,1973.17,2003.48,32.75,41.25,26.8,25.95,83,80,Aligned,1.39,1.86,Low,28,67,2026-09-29,,,
2026-09-01,09:30,1788235231,ITC.NS,ITC,Bearish,PE,270,264.4,261.74,266.26,6.95,8.71,5.72,25.32,59,69,Aligned,1.66,1.01,Low,28,66,2026-09-29,,,
2026-09-01,09:30,1788235231,PETRONET.NS,Petronet LNG,Bullish,CE,300,295.1,298.19,292.93,4.8,6.03,3.94,25.63,57,52,Neutral,1.66,2.29,Low,28,65,2026-09-29,,,
2026-09-01,09:30,1788235231,HINDPETRO.NS,HPCL,Bullish,CE,370,363.05,366.9,360.35,7.3,8.98,6.12,23.01,61,55,Neutral,1.56,2.19,Low,28,63,2026-09-29,,,
2026-09-01,09:30,1788235231,ICICIBANK.NS,ICICI Bank,Bullish,CE,1440,1442.9,1453.3,1435.62,28.15,34.04,24.03,20.92,61,70,Aligned,1.24,1.46,Low,28,55,2026-09-29,,,
2026-09-01,14:31,1788253261,MARUTI.NS,Maruti Suzuki,Bearish,PE,13000,12880,12752.04,12969.57,325.35,393.03,277.98,20.8,79,78,Aligned,4.53,1.56,Low,28,79,2026-09-29,,,
2026-09-01,14:31,1788253261,SUNPHARMA.NS,Sun Pharma,Bearish,PE,1940,1926.3,1907.73,1939.3,34.2,44.23,27.18,29.33,62,70,Aligned,2.58,1.52,Low,28,77,2026-09-29,,,
2026-09-01,14:31,1788253261,ADANIENT.NS,Adani Enterprises,Bearish,PE,2900,2850.8,2811.01,2878.65,107.4,128.91,92.35,20.03,64,71,Aligned,4.27,1.47,Low,28,74,2026-09-29,,,
2026-09-01,14:31,1788253261,TATASTEEL.NS,Tata Steel,Bearish,PE,185,183.59,181.49,185.06,4.7,5.78,3.95,22.98,42,60,Aligned,2.37,1.7,Low,28,69,2026-09-29,,,
2026-09-01,14:31,1788253261,HINDUNILVR.NS,Hindustan Unilever,Bearish,PE,2000,1986.9,1969.07,1999.38,36.85,45.77,30.61,24.21,71,74,Aligned,1.44,1.74,Low,28,64,2026-09-29,,,
2026-09-01,14:31,1788253261,AXISBANK.NS,Axis Bank,Bearish,PE,1260,1261.8,1250.71,1269.56,21.05,26.04,17.56,23.71,55,66,Aligned,1.59,2,Low,28,62,2026-09-29,,,
2026-09-01,15:30,1788256817,BAJFINANCE.NS,Bajaj Finance,Bearish,PE,1050,1053.9,1041.77,1062.39,21.45,26.84,17.68,25.13,45,61,Aligned,1.42,2.14,Low,28,55,2026-09-29,,,
2026-09-01,15:30,1788256817,LT.NS,Larsen & Toubro,Bearish,PE,4000,3977.1,3948.38,3997.21,71.55,85.44,61.83,19.41,80,78,Aligned,0.88,1.83,Low,28,54,2026-09-29,,,
2026-09-01,15:30,1788256817,HINDPETRO.NS,HPCL,Bullish,CE,370,363.1,366.95,360.4,6.55,8.04,5.51,22.75,49,48,Neutral,0.54,2.44,Low,28,45,2026-09-29,,,
