date,slot,snapshotEpoch,symbol,name,direction,optionType,strike,spot,spotTarget,spotStop,premium,premiumTarget,premiumStop,expectedPremiumMovePct,confidence,qualityScore,marketAlignment,relVolume,thetaPctPerDay,decayLevel,dte,hourlyScore,expiry,result,hitTime,spotAfter
2026-08-24,23:37,1787594858,PETRONET.NS,Petronet LNG,Bullish,CE,295,295.95,302.08,292.89,1.1,2.99,0.66,171.82,57,29,Neutral,1.64,31.82,High,1,62,2026-08-25,NODATA,,
2026-08-24,23:37,1787594858,AXISBANK.NS,Axis Bank,Bearish,PE,1240,1236,1214.63,1246.69,7.2,21.46,4.32,198.06,38,36,Aligned,1.31,56.94,High,1,53,2026-08-25,NODATA,,
2026-08-24,23:37,1787594858,INFY.NS,Infosys,Bearish,PE,1140,1130,1102.68,1143.66,10.95,26.76,6.57,144.38,59,46,Aligned,1.28,7.31,High,1,53,2026-08-25,NODATA,,
2026-08-24,23:37,1787594858,ICICIBANK.NS,ICICI Bank,Bearish,PE,1420,1415,1394.6,1425.2,7.3,20.24,4.38,177.26,50,42,Aligned,1.05,31.51,High,1,46,2026-08-25,NODATA,,
2026-08-24,23:37,1787594858,TCS.NS,Tata Consultancy Services,Bearish,PE,2300,2284.1,2225.55,2313.37,23.25,52.66,13.95,126.49,89,61,Aligned,0.72,3.01,High,1,46,2026-08-25,NODATA,,
2026-08-24,23:37,1787594871,PETRONET.NS,Petronet LNG,Bullish,CE,295,295.95,302.08,292.89,1.1,2.99,0.66,171.82,57,29,Neutral,1.64,31.82,High,1,62,2026-08-25,NODATA,,
2026-08-24,23:37,1787594871,AXISBANK.NS,Axis Bank,Bearish,PE,1240,1236,1214.63,1246.69,7.2,21.46,4.32,198.06,38,36,Aligned,1.31,56.94,High,1,53,2026-08-25,NODATA,,
2026-08-24,23:37,1787594871,INFY.NS,Infosys,Bearish,PE,1140,1130,1102.68,1143.66,10.95,26.76,6.57,144.38,73,53,Aligned,1.28,7.31,High,1,54,2026-08-25,NODATA,,
2026-08-24,23:37,1787594871,ICICIBANK.NS,ICICI Bank,Bearish,PE,1420,1415,1394.6,1425.2,7.3,20.24,4.38,177.26,38,36,Aligned,1.05,31.51,High,1,45,2026-08-25,NODATA,,
2026-08-24,23:37,1787594871,TCS.NS,Tata Consultancy Services,Bearish,PE,2300,2284.1,2225.55,2313.37,23.25,52.66,13.95,126.49,89,61,Aligned,0.72,3.01,High,1,46,2026-08-25,NODATA,,
2026-08-24,23:38,1787594922,PETRONET.NS,Petronet LNG,Bullish,CE,295,295.95,302.08,292.89,1.1,2.99,0.66,171.82,69,35,Neutral,1.64,31.82,High,1,63,2026-08-25,NODATA,,
2026-08-24,23:38,1787594922,AXISBANK.NS,Axis Bank,Bearish,PE,1240,1236,1214.63,1246.69,7.2,21.46,4.32,198.06,50,42,Aligned,1.31,56.94,High,1,54,2026-08-25,NODATA,,
2026-08-24,23:38,1787594922,INFY.NS,Infosys,Bearish,PE,1140,1130,1102.68,1143.66,10.95,26.76,6.57,144.38,59,46,Aligned,1.28,7.31,High,1,53,2026-08-25,NODATA,,
2026-08-24,23:38,1787594922,ICICIBANK.NS,ICICI Bank,Bearish,PE,1420,1415,1394.6,1425.2,7.3,20.24,4.38,177.26,50,42,Aligned,1.05,31.51,High,1,46,2026-08-25,NODATA,,
2026-08-24,23:38,1787594922,TCS.NS,Tata Consultancy Services,Bearish,PE,2300,2284.1,2225.55,2313.37,23.25,52.66,13.95,126.49,89,61,Aligned,0.72,3.01,High,1,46,2026-08-25,NODATA,,
2026-08-24,23:39,1787594968,PETRONET.NS,Petronet LNG,Bullish,CE,295,295.95,302.08,292.89,1.1,2.99,0.66,171.82,69,35,Neutral,1.64,31.82,High,1,63,2026-08-25,,,
